exp;success;longest_path;time
parallel_range4_agents15_10;1;112;0.06
parallel_range4_agents15_13;1;508;2.49
parallel_range4_agents15_17;1;67;0.06
parallel_range4_agents15_5;1;365;0.29
parallel_range4_agents15_9;1;89;0.12
parallel_range4_agents15_14;1;124;0.27
parallel_range4_agents15_16;1;81;0.08
parallel_range4_agents15_19;1;67;0.06
parallel_range4_agents15_1;1;149;0.07
parallel_range4_agents15_15;1;73;0.05
parallel_range4_agents15_11;1;181;0.11
parallel_range4_agents15_18;1;111;0.09
parallel_range4_agents15_0;1;85;0.1
parallel_range4_agents15_4;1;192;0.16
parallel_range4_agents15_2;1;317;0.41
parallel_range4_agents15_6;1;124;0.06
parallel_range4_agents15_8;1;44;0.05
parallel_range4_agents15_12;1;66;0.06
parallel_range4_agents15_3;1;67;0.07
parallel_range4_agents15_7;1;198;0.11
