exp;success;longest_path;time
parallel_range4_agents300_2;0;0;119.56
parallel_range4_agents300_9;0;0;119.76
parallel_range4_agents300_11;0;0;119.28
parallel_range4_agents300_18;0;0;119.75
parallel_range4_agents300_14;0;0;73.03
parallel_range4_agents300_8;0;0;48.6
parallel_range4_agents300_19;0;0;119.6
parallel_range4_agents300_7;0;0;119.65
parallel_range4_agents300_10;0;0;119.7
parallel_range4_agents300_6;0;0;119.7
parallel_range4_agents300_5;0;0;119.69
parallel_range4_agents300_3;0;0;79.75
parallel_range4_agents300_12;0;0;119.76
parallel_range4_agents300_16;0;0;119.73
parallel_range4_agents300_15;0;0;119.61
parallel_range4_agents300_0;0;0;119.76
parallel_range4_agents300_17;0;0;67.87
parallel_range4_agents300_13;0;0;119.69
parallel_range4_agents300_1;0;0;61.37
parallel_range4_agents300_4;0;0;119.66
