exp;success;longest_path;time
small_obstacles_range3_3d_agents275_2;0;0;119.4
small_obstacles_range3_3d_agents275_8;0;0;119.42
small_obstacles_range3_3d_agents275_0;0;0;119.44
small_obstacles_range3_3d_agents275_9;0;0;119.33
small_obstacles_range3_3d_agents275_6;0;0;119.39
small_obstacles_range3_3d_agents275_12;0;0;119.4
small_obstacles_range3_3d_agents275_14;0;0;119.43
small_obstacles_range3_3d_agents275_4;0;0;119.37
small_obstacles_range3_3d_agents275_7;0;0;119.44
small_obstacles_range3_3d_agents275_16;0;0;119.43
small_obstacles_range3_3d_agents275_11;0;0;119.4
small_obstacles_range3_3d_agents275_1;0;0;119.41
small_obstacles_range3_3d_agents275_3;0;0;119.4
small_obstacles_range3_3d_agents275_5;0;0;119.4
small_obstacles_range3_3d_agents275_13;0;0;119.35
small_obstacles_range3_3d_agents275_18;0;0;26.47
small_obstacles_range3_3d_agents275_10;0;0;119.4
small_obstacles_range3_3d_agents275_15;0;0;119.39
small_obstacles_range3_3d_agents275_17;0;0;119.41
small_obstacles_range3_3d_agents275_19;0;0;119.43
