exp;success;longest_path;time
small_obstacles_range3_3d_agents5_16;1;58;3.98
small_obstacles_range3_3d_agents5_9;1;40;3.82
small_obstacles_range3_3d_agents5_6;1;66;3.86
small_obstacles_range3_3d_agents5_10;1;59;3.87
small_obstacles_range3_3d_agents5_1;1;115;3.89
small_obstacles_range3_3d_agents5_8;1;87;3.86
small_obstacles_range3_3d_agents5_12;1;77;3.93
small_obstacles_range3_3d_agents5_2;1;89;3.86
small_obstacles_range3_3d_agents5_14;1;119;3.96
small_obstacles_range3_3d_agents5_13;1;66;3.88
small_obstacles_range3_3d_agents5_11;1;46;3.88
small_obstacles_range3_3d_agents5_19;1;135;3.85
small_obstacles_range3_3d_agents5_4;1;236;3.86
small_obstacles_range3_3d_agents5_15;1;159;3.92
small_obstacles_range3_3d_agents5_3;1;72;3.89
small_obstacles_range3_3d_agents5_17;1;81;3.86
small_obstacles_range3_3d_agents5_0;1;42;3.86
small_obstacles_range3_3d_agents5_18;1;130;3.87
small_obstacles_range3_3d_agents5_7;1;40;3.88
small_obstacles_range3_3d_agents5_5;1;34;3.84
