exp;success;longest_path;time
pyramid_range3_3d_agents15_6;1;214;0.53
pyramid_range3_3d_agents15_8;1;35;0.38
pyramid_range3_3d_agents15_13;1;161;0.4
pyramid_range3_3d_agents15_7;1;164;0.32
pyramid_range3_3d_agents15_4;1;196;0.34
pyramid_range3_3d_agents15_1;1;292;0.37
pyramid_range3_3d_agents15_3;1;130;0.3
pyramid_range3_3d_agents15_12;1;281;0.33
pyramid_range3_3d_agents15_15;1;72;0.27
pyramid_range3_3d_agents15_18;1;177;0.39
pyramid_range3_3d_agents15_2;1;441;0.48
pyramid_range3_3d_agents15_11;1;29;0.26
pyramid_range3_3d_agents15_16;1;47;0.27
pyramid_range3_3d_agents15_9;1;31;0.3
pyramid_range3_3d_agents15_10;1;190;0.29
pyramid_range3_3d_agents15_17;1;15;0.25
pyramid_range3_3d_agents15_19;1;200;0.35
pyramid_range3_3d_agents15_0;1;132;0.35
pyramid_range3_3d_agents15_5;1;244;0.3
pyramid_range3_3d_agents15_14;1;21;0.26
