exp;success;longest_path;time
pyramid_range3_3d_agents225_0;0;0;119.99
pyramid_range3_3d_agents225_4;0;0;119.97
pyramid_range3_3d_agents225_18;0;0;119.97
pyramid_range3_3d_agents225_3;0;0;119.98
pyramid_range3_3d_agents225_12;0;0;119.98
pyramid_range3_3d_agents225_2;0;0;119.99
pyramid_range3_3d_agents225_15;0;0;119.99
pyramid_range3_3d_agents225_11;0;0;119.99
pyramid_range3_3d_agents225_13;0;0;119.99
pyramid_range3_3d_agents225_17;0;0;119.99
pyramid_range3_3d_agents225_8;0;0;119.98
pyramid_range3_3d_agents225_16;0;0;119.99
pyramid_range3_3d_agents225_9;0;0;119.99
pyramid_range3_3d_agents225_10;0;0;119.99
pyramid_range3_3d_agents225_1;0;0;119.98
pyramid_range3_3d_agents225_7;0;0;119.99
pyramid_range3_3d_agents225_6;0;0;119.98
pyramid_range3_3d_agents225_5;0;0;119.97
pyramid_range3_3d_agents225_19;0;0;119.97
pyramid_range3_3d_agents225_14;0;0;119.99
