exp;success;longest_path;time
pyramid_range3_3d_agents300_8;0;0;119.98
pyramid_range3_3d_agents300_10;0;0;119.99
pyramid_range3_3d_agents300_1;0;0;119.99
pyramid_range3_3d_agents300_11;0;0;119.98
pyramid_range3_3d_agents300_18;0;0;119.99
pyramid_range3_3d_agents300_3;0;0;119.99
pyramid_range3_3d_agents300_5;0;0;119.99
pyramid_range3_3d_agents300_6;0;0;119.98
pyramid_range3_3d_agents300_13;0;0;119.98
pyramid_range3_3d_agents300_16;0;0;119.96
pyramid_range3_3d_agents300_4;0;0;119.98
pyramid_range3_3d_agents300_0;0;0;119.95
pyramid_range3_3d_agents300_7;0;0;119.99
pyramid_range3_3d_agents300_19;0;0;119.99
pyramid_range3_3d_agents300_15;0;0;119.99
pyramid_range3_3d_agents300_17;0;0;119.98
pyramid_range3_3d_agents300_2;0;0;119.99
pyramid_range3_3d_agents300_12;0;0;119.99
pyramid_range3_3d_agents300_14;0;0;119.99
pyramid_range3_3d_agents300_9;0;0;119.99
