exp;success;longest_path;time
pyramid_range3_3d_agents15_6;1;40;0.28
pyramid_range3_3d_agents15_8;1;172;0.39
pyramid_range3_3d_agents15_13;1;161;0.41
pyramid_range3_3d_agents15_7;1;146;0.34
pyramid_range3_3d_agents15_4;1;196;0.35
pyramid_range3_3d_agents15_1;1;219;0.45
pyramid_range3_3d_agents15_3;1;141;0.39
pyramid_range3_3d_agents15_12;1;281;0.33
pyramid_range3_3d_agents15_15;1;47;0.26
pyramid_range3_3d_agents15_18;1;177;0.4
pyramid_range3_3d_agents15_2;1;48;0.3
pyramid_range3_3d_agents15_11;1;29;0.26
pyramid_range3_3d_agents15_16;1;66;0.27
pyramid_range3_3d_agents15_9;1;31;0.3
pyramid_range3_3d_agents15_10;1;190;0.29
pyramid_range3_3d_agents15_17;1;15;0.25
pyramid_range3_3d_agents15_19;1;200;0.36
pyramid_range3_3d_agents15_0;1;205;0.41
pyramid_range3_3d_agents15_5;1;244;0.31
pyramid_range3_3d_agents15_14;1;259;0.81
