id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.03
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 2 ; 0.03
3 ; pyramid_range3_3d_agents ; 5 ; 0.03
4 ; pyramid_range3_3d_agents ; 2 ; 0.04
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 5 ; 0.04
7 ; pyramid_range3_3d_agents ; 5 ; 0.04
8 ; pyramid_range3_3d_agents ; 5 ; 0.04
9 ; pyramid_range3_3d_agents ; 5 ; 0.04
10 ; pyramid_range3_3d_agents ; 5 ; 0.04
11 ; pyramid_range3_3d_agents ; 5 ; 0.04
12 ; pyramid_range3_3d_agents ; 5 ; 0.04
13 ; pyramid_range3_3d_agents ; 2 ; 0.05
14 ; pyramid_range3_3d_agents ; 2 ; 0.05
15 ; pyramid_range3_3d_agents ; 2 ; 0.05
16 ; pyramid_range3_3d_agents ; 2 ; 0.05
17 ; pyramid_range3_3d_agents ; 5 ; 0.05
18 ; pyramid_range3_3d_agents ; 5 ; 0.05
19 ; pyramid_range3_3d_agents ; 5 ; 0.05
20 ; pyramid_range3_3d_agents ; 10 ; 0.05
21 ; pyramid_range3_3d_agents ; 2 ; 0.06
22 ; pyramid_range3_3d_agents ; 2 ; 0.06
23 ; pyramid_range3_3d_agents ; 2 ; 0.06
24 ; pyramid_range3_3d_agents ; 5 ; 0.06
25 ; pyramid_range3_3d_agents ; 5 ; 0.06
26 ; pyramid_range3_3d_agents ; 5 ; 0.06
27 ; pyramid_range3_3d_agents ; 5 ; 0.06
28 ; pyramid_range3_3d_agents ; 5 ; 0.06
29 ; pyramid_range3_3d_agents ; 5 ; 0.06
30 ; pyramid_range3_3d_agents ; 15 ; 0.06
31 ; pyramid_range3_3d_agents ; 2 ; 0.07
32 ; pyramid_range3_3d_agents ; 2 ; 0.07
33 ; pyramid_range3_3d_agents ; 2 ; 0.07
34 ; pyramid_range3_3d_agents ; 2 ; 0.07
35 ; pyramid_range3_3d_agents ; 2 ; 0.07
36 ; pyramid_range3_3d_agents ; 5 ; 0.07
37 ; pyramid_range3_3d_agents ; 5 ; 0.07
38 ; pyramid_range3_3d_agents ; 2 ; 0.08
39 ; pyramid_range3_3d_agents ; 2 ; 0.08
40 ; pyramid_range3_3d_agents ; 15 ; 0.08
41 ; pyramid_range3_3d_agents ; 5 ; 0.09
42 ; pyramid_range3_3d_agents ; 10 ; 0.09
43 ; pyramid_range3_3d_agents ; 10 ; 0.1
44 ; pyramid_range3_3d_agents ; 15 ; 0.1
45 ; pyramid_range3_3d_agents ; 15 ; 0.11
46 ; pyramid_range3_3d_agents ; 2 ; 0.12
47 ; pyramid_range3_3d_agents ; 10 ; 0.12
48 ; pyramid_range3_3d_agents ; 10 ; 0.13
49 ; pyramid_range3_3d_agents ; 15 ; 0.13
50 ; pyramid_range3_3d_agents ; 10 ; 0.14
51 ; pyramid_range3_3d_agents ; 10 ; 0.15
52 ; pyramid_range3_3d_agents ; 10 ; 0.15
53 ; pyramid_range3_3d_agents ; 15 ; 0.15
54 ; pyramid_range3_3d_agents ; 10 ; 0.16
55 ; pyramid_range3_3d_agents ; 10 ; 0.17
56 ; pyramid_range3_3d_agents ; 10 ; 0.18
57 ; pyramid_range3_3d_agents ; 15 ; 0.19
58 ; pyramid_range3_3d_agents ; 10 ; 0.2
59 ; pyramid_range3_3d_agents ; 10 ; 0.2
60 ; pyramid_range3_3d_agents ; 15 ; 0.2
61 ; pyramid_range3_3d_agents ; 10 ; 0.23
62 ; pyramid_range3_3d_agents ; 10 ; 0.23
63 ; pyramid_range3_3d_agents ; 15 ; 0.24
64 ; pyramid_range3_3d_agents ; 10 ; 0.25
65 ; pyramid_range3_3d_agents ; 10 ; 0.27
66 ; pyramid_range3_3d_agents ; 15 ; 0.28
67 ; pyramid_range3_3d_agents ; 10 ; 0.29
68 ; pyramid_range3_3d_agents ; 15 ; 0.3
69 ; pyramid_range3_3d_agents ; 15 ; 0.39
