id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.03
1 ; offices_range1_agents ; 2 ; 0.03
2 ; offices_range1_agents ; 5 ; 0.03
3 ; offices_range1_agents ; 2 ; 0.04
4 ; offices_range1_agents ; 2 ; 0.04
5 ; offices_range1_agents ; 2 ; 0.04
6 ; offices_range1_agents ; 2 ; 0.04
7 ; offices_range1_agents ; 2 ; 0.04
8 ; offices_range1_agents ; 5 ; 0.04
9 ; offices_range1_agents ; 5 ; 0.04
10 ; offices_range1_agents ; 5 ; 0.04
11 ; offices_range1_agents ; 10 ; 0.04
12 ; offices_range1_agents ; 2 ; 0.05
13 ; offices_range1_agents ; 2 ; 0.05
14 ; offices_range1_agents ; 2 ; 0.05
15 ; offices_range1_agents ; 2 ; 0.05
16 ; offices_range1_agents ; 2 ; 0.05
17 ; offices_range1_agents ; 2 ; 0.05
18 ; offices_range1_agents ; 5 ; 0.05
19 ; offices_range1_agents ; 5 ; 0.05
20 ; offices_range1_agents ; 5 ; 0.05
21 ; offices_range1_agents ; 10 ; 0.05
22 ; offices_range1_agents ; 10 ; 0.05
23 ; offices_range1_agents ; 10 ; 0.05
24 ; offices_range1_agents ; 15 ; 0.05
25 ; offices_range1_agents ; 2 ; 0.06
26 ; offices_range1_agents ; 2 ; 0.06
27 ; offices_range1_agents ; 5 ; 0.06
28 ; offices_range1_agents ; 2 ; 0.07
29 ; offices_range1_agents ; 2 ; 0.07
30 ; offices_range1_agents ; 2 ; 0.07
31 ; offices_range1_agents ; 5 ; 0.07
32 ; offices_range1_agents ; 5 ; 0.07
33 ; offices_range1_agents ; 5 ; 0.07
34 ; offices_range1_agents ; 5 ; 0.07
35 ; offices_range1_agents ; 5 ; 0.07
36 ; offices_range1_agents ; 5 ; 0.07
37 ; offices_range1_agents ; 5 ; 0.07
38 ; offices_range1_agents ; 10 ; 0.07
39 ; offices_range1_agents ; 15 ; 0.07
40 ; offices_range1_agents ; 5 ; 0.08
41 ; offices_range1_agents ; 10 ; 0.08
42 ; offices_range1_agents ; 20 ; 0.08
43 ; offices_range1_agents ; 2 ; 0.09
44 ; offices_range1_agents ; 5 ; 0.09
45 ; offices_range1_agents ; 10 ; 0.09
46 ; offices_range1_agents ; 10 ; 0.09
47 ; offices_range1_agents ; 10 ; 0.09
48 ; offices_range1_agents ; 15 ; 0.09
49 ; offices_range1_agents ; 15 ; 0.09
50 ; offices_range1_agents ; 20 ; 0.09
51 ; offices_range1_agents ; 5 ; 0.1
52 ; offices_range1_agents ; 10 ; 0.1
53 ; offices_range1_agents ; 10 ; 0.1
54 ; offices_range1_agents ; 15 ; 0.1
55 ; offices_range1_agents ; 15 ; 0.1
56 ; offices_range1_agents ; 20 ; 0.1
57 ; offices_range1_agents ; 5 ; 0.11
58 ; offices_range1_agents ; 5 ; 0.11
59 ; offices_range1_agents ; 10 ; 0.11
60 ; offices_range1_agents ; 20 ; 0.11
61 ; offices_range1_agents ; 2 ; 0.12
62 ; offices_range1_agents ; 15 ; 0.12
63 ; offices_range1_agents ; 20 ; 0.12
64 ; offices_range1_agents ; 10 ; 0.13
65 ; offices_range1_agents ; 15 ; 0.13
66 ; offices_range1_agents ; 15 ; 0.13
67 ; offices_range1_agents ; 15 ; 0.13
68 ; offices_range1_agents ; 15 ; 0.13
69 ; offices_range1_agents ; 15 ; 0.13
70 ; offices_range1_agents ; 15 ; 0.13
71 ; offices_range1_agents ; 15 ; 0.13
72 ; offices_range1_agents ; 20 ; 0.13
73 ; offices_range1_agents ; 10 ; 0.14
74 ; offices_range1_agents ; 15 ; 0.14
75 ; offices_range1_agents ; 20 ; 0.14
76 ; offices_range1_agents ; 10 ; 0.15
77 ; offices_range1_agents ; 15 ; 0.15
78 ; offices_range1_agents ; 15 ; 0.15
79 ; offices_range1_agents ; 15 ; 0.15
80 ; offices_range1_agents ; 20 ; 0.15
81 ; offices_range1_agents ; 20 ; 0.15
82 ; offices_range1_agents ; 10 ; 0.16
83 ; offices_range1_agents ; 20 ; 0.16
84 ; offices_range1_agents ; 20 ; 0.16
85 ; offices_range1_agents ; 15 ; 0.19
86 ; offices_range1_agents ; 20 ; 0.19
87 ; offices_range1_agents ; 15 ; 0.21
88 ; offices_range1_agents ; 20 ; 0.21
89 ; offices_range1_agents ; 20 ; 0.21
90 ; offices_range1_agents ; 20 ; 0.25
91 ; offices_range1_agents ; 30 ; 0.26
92 ; offices_range1_agents ; 40 ; 0.27
93 ; offices_range1_agents ; 30 ; 0.28
94 ; offices_range1_agents ; 30 ; 0.29
95 ; offices_range1_agents ; 20 ; 0.33
96 ; offices_range1_agents ; 30 ; 0.33
97 ; offices_range1_agents ; 30 ; 0.34
98 ; offices_range1_agents ; 10 ; 0.35
99 ; offices_range1_agents ; 20 ; 0.35
100 ; offices_range1_agents ; 20 ; 0.39
101 ; offices_range1_agents ; 10 ; 0.4
102 ; offices_range1_agents ; 10 ; 0.42
103 ; offices_range1_agents ; 30 ; 0.43
